industry,sector_group,tfp_start_year,tfp_end_year,rd_intensity_year,tfp_growth_annualized_percent,rd_capital_compensation_to_gross_output,rd_capital_compensation_to_value_added,rd_capital_compensation_millions,gross_output_millions,value_added_millions,tfp_start_index,tfp_end_index
"Forestry, fishing, and related activities",Nonmanufacturing,1997,2024,2010,0.5764803192656882,0.0,0.0,0.0,45131.0,28174.0,91.992,107.485
"Funds, trusts, and other financial vehicles",Nonmanufacturing,1997,2024,2010,-0.687436410679014,6.423491626519843e-5,0.001954215522054718,7.0,108975.0,3582.0,110.702,91.949
Furniture and related products,Manufacturing,1997,2024,2010,-0.1653038170810047,0.006936194003773849,0.018194317140238312,397.0,57236.0,21820.0,100.869,96.466
Hospitals and nursing and residential care facilities,Nonmanufacturing,1997,2024,2010,-0.0067868787790044864,0.0011759744562925478,0.002000483723523311,976.0,829950.0,487882.0,98.865,98.684
Insurance carriers and related activities,Nonmanufacturing,1997,2024,2010,0.23013001674383388,0.008445202976031916,0.015284913820892091,5453.0,645692.0,356757.0,90.631,96.441
Legal services,Nonmanufacturing,1997,2024,2010,-0.7174799666699292,0.0,0.0,0.0,278485.0,197236.0,125.506,103.403
Machinery,Manufacturing,1997,2024,2010,0.12710432192537782,0.04053226662312748,0.10150101037104599,12909.0,318487.0,127181.0,94.232,97.522
Management of companies and enterprises,Nonmanufacturing,1997,2024,2010,0.39899029877071546,0.0004344842814033605,0.0006922692814017885,183.0,421189.0,264348.0,106.133,118.205
"Mining, except oil and gas",Nonmanufacturing,1997,2024,2010,-0.6076487981903966,0.003599876054900388,0.005923282248148037,395.0,109726.0,66686.0,113.341,96.191
Miscellaneous manufacturing,Manufacturing,1997,2024,2010,0.5836058228405769,0.0543598735088763,0.10445821551049876,8681.0,159695.0,83105.0,86.162,100.867
"Miscellaneous professional, scientific, and technical services",Nonmanufacturing,1997,2024,2010,0.2756611925392355,0.046856005972552836,0.07333340470404351,47950.0,1.023348e6,653863.0,103.6,111.605
Motion picture and sound recording industries,Nonmanufacturing,1997,2024,2010,1.5778234539453606,0.0005739399800300336,0.0008232680357726878,73.0,127191.0,88671.0,72.785,111.444
"Motor vehicles, bodies and trailers, and parts",Manufacturing,1997,2024,2010,0.683377248846998,0.034691806123599775,0.16993618796365195,15073.0,434483.0,88698.0,85.663,103.021
Nonmetallic mineral products,Manufacturing,1997,2024,2010,-0.3369944414359897,0.03664246233878834,0.08825602338875982,3381.0,92270.0,38309.0,99.676,91.007
Oil and gas extraction,Nonmanufacturing,1997,2024,2010,2.3783341124650916,0.003711869515594255,0.006099359455954945,1096.0,295269.0,179691.0,68.194,129.607
"Other services, except government",Nonmanufacturing,1997,2024,2010,-0.7918524994029247,0.006754727168337763,0.01112453973899757,3553.0,526002.0,319384.0,114.598,92.539
Other transportation and support activities,Nonmanufacturing,1997,2024,2010,-0.3057228190608225,0.0008097557438271232,0.0014835973915257802,134.0,165482.0,90321.0,102.461,94.343
Other transportation equipment,Manufacturing,1997,2024,2010,0.6744241957964521,0.09534082144234478,0.19663289062694184,23733.0,248928.0,120697.0,86.638,103.942
Paper products,Manufacturing,1997,2024,2010,-0.00567149075078414,0.010672982646805194,0.032107891042840134,1807.0,169306.0,56279.0,100.645,100.491
"Performing arts, spectator sports, museums, and related activities",Nonmanufacturing,1997,2024,2010,1.0323315319332094,0.00034860210555671755,0.0005428226779252111,45.0,129087.0,82900.0,77.166,101.971
Petroleum and coal products,Manufacturing,1997,2024,2010,0.372930506916858,0.024673640415265003,0.12119448351683886,14992.0,607612.0,123702.0,97.437,107.759
Pipeline transportation,Nonmanufacturing,1997,2024,2010,0.7695887721899914,0.0020868783510450445,0.003220691705480131,65.0,31147.0,20182.0,67.256,82.789
Plastics and rubber products,Manufacturing,1997,2024,2010,0.10134560292319039,0.016237855102598592,0.04900375210247121,3030.0,186601.0,61832.0,91.705,94.249
Primary metals,Manufacturing,1997,2024,2010,1.1341873913466387,0.011336242020915387,0.05254047249050888,2671.0,235616.0,50837.0,82.792,112.456
Printing and related support activities,Manufacturing,1997,2024,2010,0.701119814044268,0.008692952499223843,0.01847434400852662,728.0,83746.0,39406.0,75.991,91.828
"Publishing industries, except internet (includes software)",Nonmanufacturing,1997,2024,2010,2.370631250564149,0.1228589370405193,0.1992774420096566,35412.0,288233.0,177702.0,69.797,132.378
Rail transportation,Nonmanufacturing,1997,2024,2010,0.7782222890891584,0.0012705552472471304,0.0024292854550023732,87.0,68474.0,35813.0,80.222,98.98
Real estate,Nonmanufacturing,1997,2024,2010,0.5703557001251112,6.514096545384438e-5,8.683252217734977e-5,161.0,2.471563e6,1.854144e6,93.311,108.846
Rental and leasing services and lessors of intangible assets,Nonmanufacturing,1997,2024,2010,-0.5167401579715567,0.0003722093888859044,0.000636583188953641,97.0,260606.0,152376.0,140.834,122.494
Retail trade,Nonmanufacturing,1997,2024,2010,1.2011904242678644,0.0026489450692443535,0.004289334876225499,3021.0,1.140454e6,704305.0,81.487,112.704
"Securities, commodity contracts, and investments",Nonmanufacturing,1997,2024,2010,-0.2792666637115736,0.0009282717168175935,0.0021495494115544665,421.0,453531.0,195855.0,104.393,96.811
Social assistance,Nonmanufacturing,1997,2024,2010,-0.12954171997755215,0.00022824008389365247,0.00041545025825286326,37.0,162110.0,89060.0,103.05,99.508
State and local,Nonmanufacturing,1997,2024,2010,0.03850230941295691,0.00614283592285542,0.008746362025554578,16087.0,2.618823e6,1.839279e6,99.523,100.563
Support activities for mining,Nonmanufacturing,1997,2024,2010,3.1224248610518033,0.002495820107102183,0.004343975370081397,206.0,82538.0,47422.0,58.605,136.166
Textile mills and textile product mills,Manufacturing,1997,2024,2010,0.37451929271725115,0.00497991967871486,0.015968063872255488,248.0,49800.0,15531.0,88.601,98.029
Transit and ground passenger transportation,Nonmanufacturing,1997,2024,2010,1.2718924206363544,0.0016000721159263515,0.002315720808871494,71.0,44373.0,30660.0,99.2,139.847
Truck transportation,Nonmanufacturing,1997,2024,2010,0.039107443419070964,0.0006493040894207251,0.0014420695024417863,163.0,251038.0,113032.0,97.975,99.015
Utilities,Nonmanufacturing,1997,2024,2010,-0.056897866641094065,0.0009923304266590324,0.0018500830731444991,461.0,464563.0,249178.0,97.868,96.376
Warehousing and storage,Nonmanufacturing,1997,2024,2010,0.22934475370621024,0.00033936267689279535,0.000665173721203521,30.0,88401.0,45101.0,83.891,89.25
Waste management and remediation services,Nonmanufacturing,1997,2024,2010,-0.22563036701453945,0.0018828915306800561,0.0032812902118898517,153.0,81258.0,46628.0,99.185,93.323
Water transportation,Nonmanufacturing,1997,2024,2010,0.26677905280288317,0.0014480408858603066,0.004606421894052296,68.0,46960.0,14762.0,93.576,100.565
Wholesale trade,Nonmanufacturing,1997,2024,2010,0.1000204176838832,0.004714531177182169,0.007768753537496085,5655.0,1.199483e6,727916.0,90.964,93.454
Wood products,Manufacturing,1997,2024,2010,0.4790161244380759,0.0011420135648928318,0.003527943897087295,82.0,71803.0,23243.0,87.477,99.555
Accommodation,Nonmanufacturing,2012,2024,2018,1.50132520968372,0.002741149293159285,0.004673748484486799,744.0,271419.0,159187.0,92.97,111.323
Administrative and support services,Nonmanufacturing,2012,2024,2018,0.38113843273009557,0.0,0.0,0.0,1.009892e6,574993.0,101.52,106.271
Air transportation,Nonmanufacturing,2012,2024,2018,1.192812970971809,0.0007724621580336064,0.0016512365721070893,178.0,230432.0,107798.0,90.793,104.765
Ambulatory health care services,Nonmanufacturing,2012,2024,2018,1.0004249525869202,0.003261113925010631,0.004893904433373393,3612.0,1.107597e6,738061.0,95.034,107.156
"Amusements, gambling, and recreation industries",Nonmanufacturing,2012,2024,2018,-0.402192865549796,0.0014908758398600565,0.0028053113895642415,225.0,150918.0,80205.0,102.341,97.519
Apparel and leather and allied products,Manufacturing,2012,2024,2018,2.3209046737679317,0.007978251876366645,0.014511447920025799,135.0,16921.0,9303.0,95.931,126.74
Broadcasting and telecommunications,Nonmanufacturing,2012,2024,2018,0.5130177107643888,0.012190990212501225,0.02375289809737607,10327.0,847101.0,434768.0,91.69,97.512
Chemical products,Manufacturing,2012,2024,2018,-0.03141427476235729,0.20310175996410823,0.42602873896843524,166593.0,820244.0,391037.0,106.309,105.909
Computer and electronic products,Manufacturing,2012,2024,2018,1.959175169929428,0.20271034085416967,0.28602801793887833,74238.0,366227.0,259548.0,86.988,110.043
Computer systems design and related services,Nonmanufacturing,2012,2024,2018,3.96385670418824,0.03598722149155233,0.05235760667115789,18497.0,513988.0,353282.0,87.816,141.303
Construction,Nonmanufacturing,2012,2024,2018,-0.2044890216833369,0.0014572728094219705,0.002726970402394413,2419.0,1.65995e6,887065.0,97.277,94.919
"Data processing, internet publishing, and other information services",Nonmanufacturing,2012,2024,2018,1.4528751429823128,0.029306493463876107,0.055633671208251384,12503.0,426629.0,224738.0,100.359,119.474
Educational services,Nonmanufacturing,2012,2024,2018,-0.4624885782137082,0.007567063062476429,0.010882246214234712,2789.0,368571.0,256289.0,106.304,100.565
"Electrical equipment, appliances, and components",Manufacturing,2012,2024,2018,-0.4763201153329029,0.0590635018447594,0.1264360138925995,7572.0,128201.0,59888.0,97.614,92.191
Fabricated metal products,Manufacturing,2012,2024,2018,-0.9682219480950863,0.017209126312088527,0.04240095752630221,6412.0,372593.0,151223.0,102.962,91.668
Farms,Nonmanufacturing,2012,2024,2018,1.0658799140946584,0.0,0.0,0.0,407519.0,149271.0,93.048,105.744
Federal,Nonmanufacturing,2012,2024,2018,-0.01127361994956999,0.13733971915186652,0.1877209876100753,199040.0,1.449253e6,1.060297e6,99.858,99.723
"Federal Reserve banks, credit intermediation, and related activities",Nonmanufacturing,2012,2024,2018,-1.9148168222487734,0.004240152122779665,0.006874996346973248,4705.0,1.10963e6,684364.0,120.756,95.966
Food and beverage and tobacco products,Manufacturing,2012,2024,2018,-0.08874325348982766,0.01163696937774866,0.04381297863764611,10870.0,934092.0,248100.0,99.597,98.542
Food services and drinking places,Nonmanufacturing,2012,2024,2018,-0.11338272602656001,0.0007257037840622569,0.0014440041792339385,586.0,807492.0,405816.0,99.602,98.256
"Forestry, fishing, and related activities",Nonmanufacturing,2012,2024,2018,0.6131841489636377,0.0,0.0,0.0,52414.0,39652.0,99.86,107.485
"Funds, trusts, and other financial vehicles",Nonmanufacturing,2012,2024,2018,-0.7901391797409488,1.3411027888232494e-5,0.0021598272138228943,2.0,149131.0,926.0,101.094,91.949
Furniture and related products,Manufacturing,2012,2024,2018,-0.023550130835962396,0.008193726840979071,0.02100123733404675,628.0,76644.0,29903.0,96.739,96.466
Hospitals and nursing and residential care facilities,Nonmanufacturing,2012,2024,2018,-0.15245501089285649,0.0016873050466646687,0.0029144249485802323,1903.0,1.127834e6,652959.0,100.506,98.684
Insurance carriers and related activities,Nonmanufacturing,2012,2024,2018,0.3118211741786355,0.011302911797207405,0.021505240969489428,11957.0,1.057869e6,556004.0,92.899,96.441
Legal services,Nonmanufacturing,2012,2024,2018,0.2586394740061282,0.0,0.0,0.0,342677.0,260994.0,100.243,103.403
Machinery,Manufacturing,2012,2024,2018,-0.8285011697418909,0.043414511390948866,0.10935468639841663,16907.0,389432.0,154607.0,107.716,97.522
Management of companies and enterprises,Nonmanufacturing,2012,2024,2018,1.8860087404226844,0.0003720722253923443,0.000576620743866617,223.0,599346.0,386736.0,94.264,118.205
"Mining, except oil and gas",Nonmanufacturing,2012,2024,2018,-0.546122830137441,0.004867657548242824,0.0102326146863349,505.0,103746.0,49352.0,102.706,96.191
Miscellaneous manufacturing,Manufacturing,2012,2024,2018,-0.20087981002096336,0.05873726551183365,0.10743611640281153,9813.0,167066.0,91338.0,103.328,100.867
"Miscellaneous professional, scientific, and technical services",Nonmanufacturing,2012,2024,2018,0.9841670998874971,0.04798770965220843,0.07590323491711747,69875.0,1.456102e6,920580.0,99.173,111.605
Motion picture and sound recording industries,Nonmanufacturing,2012,2024,2018,1.129827990402199,0.00045635553221682517,0.0008016516219718434,73.0,159963.0,91062.0,97.314,111.444
"Motor vehicles, bodies and trailers, and parts",Manufacturing,2012,2024,2018,0.23420034360338202,0.045249578235046946,0.17939505451471338,28860.0,637796.0,160874.0,100.166,103.021
Nonmetallic mineral products,Manufacturing,2012,2024,2018,-0.8030124509900668,0.04892132366384301,0.10838086880210619,6422.0,131272.0,59254.0,100.213,91.007
Oil and gas extraction,Nonmanufacturing,2012,2024,2018,4.360525774287768,0.004776169428326036,0.009031542492388831,1596.0,334159.0,176714.0,76.803,129.607
"Other services, except government",Nonmanufacturing,2012,2024,2018,-0.472707241596589,0.01021937762326239,0.016755430689653617,7431.0,727148.0,443498.0,97.94,92.539
Other transportation and support activities,Nonmanufacturing,2012,2024,2018,-0.7013664899010822,0.00032771535580524347,0.0006296285191736876,84.0,256320.0,133412.0,102.627,94.343
Other transportation equipment,Manufacturing,2012,2024,2018,0.6077787546236557,0.08681564467525987,0.192316145764649,30625.0,352759.0,159243.0,96.631,103.942
Paper products,Manufacturing,2012,2024,2018,-0.08891832688217398,0.014083025141119592,0.044522427528398224,2677.0,190087.0,60127.0,101.569,100.491
"Performing arts, spectator sports, museums, and related activities",Nonmanufacturing,2012,2024,2018,0.008748907190307223,0.0004560007761715339,0.0007242022219140511,94.0,206140.0,129798.0,101.864,101.971
Petroleum and coal products,Manufacturing,2012,2024,2018,0.6274769058458215,0.03318472195209527,0.1442413364807481,22181.0,668410.0,153777.0,99.943,107.759
Pipeline transportation,Nonmanufacturing,2012,2024,2018,-1.0920381615246482,0.0016572097631270828,0.002093240199312871,92.0,55515.0,43951.0,94.381,82.789
Plastics and rubber products,Manufacturing,2012,2024,2018,-0.513725385928665,0.01755345717479723,0.055157637738387374,4428.0,252258.0,80279.0,100.242,94.249
Primary metals,Manufacturing,2012,2024,2018,1.2632499618445852,0.01734796945436824,0.06525338537046893,4414.0,254439.0,67644.0,96.638,112.456
Printing and related support activities,Manufacturing,2012,2024,2018,-0.4000654828737756,0.015669344364808314,0.031454435727217865,1303.0,83156.0,41425.0,96.344,91.828
"Publishing industries, except internet (includes software)",Nonmanufacturing,2012,2024,2018,3.4553333879908514,0.1715418926580602,0.2786668785837419,68379.0,398614.0,245379.0,87.446,132.378
Rail transportation,Nonmanufacturing,2012,2024,2018,0.1267419297793578,0.0007472318456626588,0.0013631294146804907,66.0,88326.0,48418.0,97.486,98.98
Real estate,Nonmanufacturing,2012,2024,2018,0.6288107823237447,9.323601488553265e-5,0.00013095131278691068,324.0,3.475052e6,2.474202e6,100.935,108.846
Rental and leasing services and lessors of intangible assets,Nonmanufacturing,2012,2024,2018,1.648705183198344,0.0004171221840844713,0.0007144725044829647,153.0,366799.0,214144.0,100.506,122.494
Retail trade,Nonmanufacturing,2012,2024,2018,1.7978521430837964,0.004495932029857047,0.007677541275123014,7711.0,1.715106e6,1.004358e6,90.833,112.704
"Securities, commodity contracts, and investments",Nonmanufacturing,2012,2024,2018,-1.0938243820017919,0.0011583158433403754,0.0023074088487407404,670.0,578426.0,290369.0,110.39,96.811
Social assistance,Nonmanufacturing,2012,2024,2018,-0.0024282616330658278,0.00024653469975899106,0.0004293974369415057,58.0,235261.0,135073.0,99.537,99.508
State and local,Nonmanufacturing,2012,2024,2018,0.039371721663624314,0.007152691624166269,0.0098693962000055,25835.0,3.611927e6,2.617688e6,100.089,100.563
Support activities for mining,Nonmanufacturing,2012,2024,2018,1.9389154782920137,0.0030966566733710297,0.00570485751838698,408.0,131755.0,71518.0,107.9,136.166
Textile mills and textile product mills,Manufacturing,2012,2024,2018,0.036548832030562174,0.011157546128370919,0.03413751507840772,566.0,50728.0,16580.0,97.6,98.029
Transit and ground passenger transportation,Nonmanufacturing,2012,2024,2018,1.9234298400629142,0.00022276676319893073,0.00046728971962616824,21.0,94269.0,44940.0,111.023,139.847
Truck transportation,Nonmanufacturing,2012,2024,2018,0.2929236364539752,0.00040173569783486917,0.000843598866119288,161.0,400761.0,190849.0,95.595,99.015
Utilities,Nonmanufacturing,2012,2024,2018,-0.7041073859930543,0.0010100822701702092,0.001689754226971926,490.0,485109.0,289983.0,104.873,96.376
Warehousing and storage,Nonmanufacturing,2012,2024,2018,-1.3459074647990121,0.00015416753385904462,0.00029209019745297346,20.0,129729.0,68472.0,104.894,89.25
Waste management and remediation services,Nonmanufacturing,2012,2024,2018,-0.8177355911880069,0.0014728025210429747,0.003251884821509674,179.0,121537.0,55045.0,102.945,93.323
Water transportation,Nonmanufacturing,2012,2024,2018,-0.9188559566301638,0.00036925762433072054,0.0014255167498218105,22.0,59579.0,15433.0,112.288,100.565
Wholesale trade,Nonmanufacturing,2012,2024,2018,-0.5429801507623141,0.005625783398065905,0.011052172936143339,10920.0,1.941063e6,988041.0,99.746,93.454
Wood products,Manufacturing,2012,2024,2018,-0.2631572141907383,0.0013640635786707034,0.0044576119159577075,164.0,120229.0,36791.0,102.749,99.555
